Area,2013,2014,2015,2016
E92000001,,,,
E12000009,,,,
E01015023,,,,
E01015024,,,,
E01015025,,,,
E01015026,,,,
E01015027,,,,
E01015028,,,,
E01015029,,,,
E01015030,,,,
E01015031,,,,
E01015032,,,,
E01015033,,,,
E01015034,,,,
E01015035,,,,
E01015036,,,,
E01015037,,,,
E01015038,,,,
E01015039,,,,
E01015040,,,,
E01015041,,,,
E01015042,,,,
E01015043,,,,
E01015044,,,,
E01015045,,,,
E01015046,,,,
E01015047,,,,
E01015048,,,,
E01015049,,,,
E01015050,,,,
E01015051,,,,
E01015052,,,,
E01015053,,,,
E01015054,,,,
E01015055,,,,
E01015056,,,,
E01015057,,,,
E01015058,,,,
E01015059,,,,
E01015060,,,,
E01015061,,,,
E01015062,,,,
E01015063,,,,
E01015064,,,,
E01015065,,,,
E01015066,,,,
E01015067,,,,
E01015068,,,,
E01015069,,,,
E01015070,,,,
E01015071,,,,
E01015072,,,,
E01015073,,,,
E01015074,,,,
E01015075,,,,
E01015076,,,,
E01015077,,,,
E01015078,,,,
E01015079,,,,
E01015080,,,,
E01015081,,,,
E01015082,,,,
E01015083,,,,
E01015084,,,,
E01015085,,,,
E01015086,,,,
E01015087,,,,
E01015088,,,,
E01015089,,,,
E01015090,,,,
E01015091,,,,
E01015092,,,,
E01015093,,,,
E01015094,,,,
E01015095,,,,
E01015096,,,,
E01015097,,,,
E01015098,,,,
E01015099,,,,
E01015100,,,,
E01015101,,,,
E01015102,,,,
E01015103,,,,
E01015104,,,,
E01015105,,,,
E01015106,,,,
E01015107,,,,
E01015108,,,,
E01015109,,,,
E01015110,,,,
E01015111,,,,
E01015112,,,,
E01015113,,,,
E01015114,,,,
E01015115,,,,
E01015116,,,,
E01015117,,,,
E01015118,,,,
E01015119,,,,
E01015120,,,,
E01015121,,,,
E01015122,,,,
E01015123,,,,
E01015124,,,,
E01015125,,,,
E01015126,,,,
E01015127,,,,
E01015128,,,,
E01015129,,,,
E01015130,,,,
E01015131,,,,
E01015132,,,,
E01015133,,,,
E01015134,,,,
E01015135,,,,
E01015136,,,,
E01015137,,,,
E01015138,,,,
E01015139,,,,
E01015140,,,,
E01015141,,,,
E01015142,,,,
E01015143,,,,
E01015144,,,,
E01015145,,,,
E01015146,,,,
E01015147,,,,
E01015148,,,,
E01015149,,,,
E01015150,,,,
E01015151,,,,
E01015152,,,,
E01015153,,,,
E01015155,,,,
E01015156,,,,
E01015157,,,,
E01015158,,,,
E01015159,,,,
E01015160,,,,
E01015161,,,,
E01015162,,,,
E01015163,,,,
E01015164,,,,
E01015165,,,,
E01015166,,,,
E01015167,,,,
E01015168,,,,
E01015169,,,,
E01015170,,,,
E01015171,,,,
E01015172,,,,
E01015173,,,,
E01015174,,,,
E01015175,,,,
E01015176,,,,
E01015177,,,,
E01015178,,,,
E01015179,,,,
E01015180,,,,
E01015181,,,,
E01015182,,,,
E01015183,,,,
E01015184,,,,
E01015185,,,,
E01015186,,,,
E01015187,,,,
E01015188,,,,
E01015189,,,,
E01015190,,,,
E01015191,,,,
E01015192,,,,
E01015193,,,,
E01015194,,,,
E01015195,,,,
E01015196,,,,
E01015197,,,,
E01015198,,,,
E01015199,,,,
E01015200,,,,
E01015201,,,,
E01015202,,,,
E01015203,,,,
E01015204,,,,
E01015205,,,,
E01015206,,,,
E01015207,,,,
E01015208,,,,
E01015209,,,,
E01015210,,,,
E01015211,,,,
E01015212,,,,
E01015213,,,,
E01015214,,,,
E01015215,,,,
E01015216,,,,
E01015217,,,,
E01015218,,,,
E01015219,,,,
E01015220,,,,
E01015221,,,,
E01015222,,,,
E01015223,,,,
E01015224,,,,
E01015225,,,,
E01015226,,,,
E01015227,,,,
E01015228,,,,
E01015229,,,,
E01015230,,,,
E01015231,,,,
E01015232,,,,
E01015233,,,,
E01015234,,,,
E01015235,,,,
E01015236,,,,
E01015237,,,,
E01015238,,,,
E01015239,,,,
E01015240,,,,
E01015241,,,,
E01015242,,,,
E01015243,,,,
E01015244,,,,
E01015245,,,,
E01015246,,,,
E01015247,,,,
E01015248,,,,
E01015249,,,,
E01015250,,,,
E01015251,,,,
E01015252,,,,
E01015253,,,,
E01015254,,,,
E01015255,,,,
E01015256,,,,
E01015257,,,,
E01015258,,,,
E01015259,,,,
E01015260,,,,
E01015261,,,,
E01015262,,,,
E01015263,,,,
E01015264,,,,
E01015265,,,,
E01015266,,,,
E01015267,,,,
E01015268,,,,
E01015269,,,,
E01015270,,,,
E01015271,,,,
E01019886,0.237672542,0.270653906,0.215861129,0.190028838
E01019887,0.299607012,#,0.237672542,0.311660948
E01019888,#,0.289766586,#,0.289766586
E01019889,0.236635676,0.289055362,0.253999937,0.307448782
E01019890,0.239965859,0.180828565,0.234087242,0.180388157
E01019891,0.248001024,0.158583431,0.145804141,0.282819171
E01019892,0.184062489,0.143871857,0.122741994,0.178118928
E01019893,0.18106841,0.207742696,0.165438024,0.195976335
E01019894,0.25437292,#,#,0.108301974
E01019895,0.258478702,0.233260489,0.233260489,0.233260489
E01019896,0.233260489,0.258478702,#,0.108301974
E01019897,0.210843693,0.236635676,0.240755548,0.191656926
E01019898,0.246036046,0.229142937,0.108301974,0.195139355
E01019899,0.253999937,0.251293464,#,0.239965859
E01019900,0.25898814,0.134639482,0.167706426,0.180388157
E01019901,0.216771913,0.210843693,0.212509539,0.074977448
E01019902,0.239809417,0.194227924,0.223016325,0.210064683
E01019903,0.153498556,0.202330045,0.196090795,0.202330045
E01019904,0.223276695,0.215903034,0.248001024,0.201997786
E01019905,0.158769742,0.153477773,0.208809939,0.17169211
E01019906,0.28705736,0.158130175,#,0.265014437
E01019907,0.26930602,0.191656926,0.174789274,0.216771913
E01019908,0.226430896,0.199634943,0.20875822,0.143092008
E01019909,0.239809417,0.216771913,0.215903034,0.190982133
E01019910,0.190028838,0.202330045,0.210064683,0.172244946
E01019911,0.194077249,#,0,#
E01019912,0.180828565,0.145804141,0.265014437,0.121840276
E01019913,#,#,#,0
E01019914,0.223276695,0.162571275,0.206942956,0.188273038
E01019915,0.180828565,0.190028838,0.177337962,0.195139355
E01019916,0.22804215,#,0.239965859,0.26930602
E01019917,0.176363212,0.201824967,0.194808933,0.163428531
E01019918,0.21509223,0.265014437,0.251293464,0.18879512
E01019919,#,0.187456391,0.278447742,0.150001778
E01019920,0.220270784,0.156687995,0.223349791,0.179535297
E01019921,0.146435561,0.18106841,0.185523059,0.199905931
E01019922,0.210204129,0.202803131,0.248871451,0.193529038
E01019923,0.257024188,0.289766586,0.277130234,0.229209521
E01019924,0.251293464,0.17169211,0.239965859,0.237672542
E01019925,0.251293464,0.20553518,0.108301974,#
E01019927,0.282862934,#,#,0.282862934
E01019928,0.22804215,0.282819171,0.18106841,#
E01019929,0.219422103,0.253489889,0.212509539,0.219422103
E01019930,#,#,0.278447742,0.218145974
E01019931,0.18879512,0,#,0.25437292
E01019932,0.20553518,#,0.270653906,0.216771913
E01019933,#,0.240755548,#,#
E01019934,0.239457413,0.287116056,0.199905931,0.20203199
E01019935,0.24902172,0.218145974,0.194077249,#
E01019936,#,0.139246846,#,0.975
E01019937,0.210064683,0.191656926,0.158769742,0.223016325
E01019938,0.239809417,0.251293464,0.172244946,0.233260489
E01019939,0.108301974,0.215903034,0.057335355,0.180388157
E01019940,0.08122574,0.152269591,0.103067742,0.11675742
E01019942,0.178725783,0.190078095,0.190028838,0.16443231
E01019943,0.142666003,0.16443231,0.187456391,0.131500943
E01019944,0.148114696,0.165514578,0.124068488,0.094534603
E01019945,0.143092008,0.239809417,0.188745194,0.215903034
E01019946,0.233260489,0.258478702,0.24902172,0.088610119
E01019947,0.270653906,0.258478702,0.216771913,0.25437292
E01019948,0.234087242,0.307448782,0.246036046,0.233260489
E01019949,0.11675742,0.258478702,#,0.201824967
E01019950,0.20553518,0.251293464,0.229142937,0.145804141
E01019951,0.202330045,0.199905931,0.18879512,0.167186377
E01019952,0.21509223,0.265014437,0.216771913,0.26930602
E01019953,0.156687995,0.263723101,#,0.212509539
E01019954,0.202291325,0.174009708,0.21905985,0.187007072
E01019955,0.253489889,0.20553518,0.174009708,0.267471986
E01019956,0.108301974,0.233260489,0.08122574,0.08122574
E01019957,#,#,#,#
E01019958,0.17169211,0.234087242,0.18879512,0.163428531
E01019959,0.216771913,#,0.26930602,0.139246846
E01019960,#,0.25437292,0.162455922,0.134639482
E01019961,0.218145974,0.134639482,#,#
E01019962,0.170504577,0.153477773,0.106765996,0.143092008
E01019963,0.289766586,0.180388157,0.158986984,0.08122574
E01019964,#,#,#,0
E01019965,0.26930602,#,0.190028838,0.150001778
E01019966,#,0.108301974,0,#
E01019967,0,#,0.08122574,#
E01019968,0.195139355,0.234087242,0.180388157,0.201824967
E01019969,0.167186377,0.234087242,0.216771913,#
E01019970,0.088610119,0.22804215,0.21509223,0.167706426
E01019971,0,#,#,0.234087242
E01019972,0.307448782,0.291477032,0.287116056,0.21509223
E01019973,0.155919363,0.226002685,0.216771913,0.236635676
E01019974,#,0.25437292,#,0.229544427
E01019975,0.249712095,0.211288018,0.223276695,0.274120636
E01019976,0.216771913,0.194077249,0.190028838,0.212509539
E01019977,0.18106841,0.256741428,0,0.215903034
E01019980,0.234087242,0.208809939,0.265014437,0.202330045
E01019981,0.183248587,0.277130234,0.230542609,0.299607012
E01019982,0.18879512,0.239965859,#,#
E01019983,0.239809417,0.229142937,0.253999937,0.158986984
E01019984,0.162455922,0.229544427,0.177337962,0.156687995
E01019985,0.234693229,0.206942956,0.243949524,0.247983897
E01019986,0.177337962,0.218145974,0.233260489,0.246036046
E01019987,#,#,0.289055362,0
E01019988,0.142787897,0.227327744,0.194227924,0.147026266
E01019989,0.21509223,0.24902172,0.233260489,#
E01019990,0.277130234,0.229209521,0.108301974,0.18106841
E01019991,0.263723101,#,0.247983897,0.251293464
E01019992,0.239809417,0.202868409,0.17169211,0.210374572
E01019993,0.121840276,0.246036046,0.270653906,0.158986984
E01019994,#,#,#,0.194077249
E01019995,0.289766586,0.088610119,#,0.24902172
E01019996,0,#,#,0
E01019997,#,0.258478702,#,#
E01019998,0.25437292,#,0.194077249,0.216771913
E01019999,0.289766586,0,#,0.097471421
E01020000,0.253999937,0.287116056,0.219422103,0.229544427
E01020001,0.233260489,#,0.147026266,0
E01020002,0.253489889,0.240755548,0.243949524,0.190982133
E01020003,0.202330045,0.234721867,0.150001778,0.142787897
E01020004,0.145804141,0.199880755,0.212509539,0.21509223
E01020005,0.172801569,0.19396507,0.183820558,0.190078095
E01020006,0.176363212,0.189177154,0.172441645,0.124068488
E01020007,#,#,#,0.139246846
E01020008,0.312913972,0.218145974,#,0.216771913
E01020009,0.08122574,0.167706426,0.201824967,0.201824967
E01020010,0.189645638,0.23356459,#,0.223276695
E01020011,0.299607012,#,0.246036046,0.24902172
E01020012,0.215903034,0.20475332,0.206942956,0.234693229
E01020013,#,0.263723101,0.289055362,#
E01020014,0.21905985,0.226002685,0.219639422,0.210374572
E01020015,0.219281147,0.185157415,0.213346504,0.220270784
E01020016,#,0.707598226,#,#
E01020017,#,#,#,#
E01020018,#,0.311660948,#,#
E01020019,#,#,#,#
E01020020,#,0,#,0.218145974
E01020021,#,#,0,#
E01020022,#,#,0.707598226,#
E01020023,0.152269591,0.18879512,0.064980236,0.167186377
E01020024,0.24902172,0.088610119,#,0
E01020025,0.24902172,#,0.24902172,#
E01020026,0.194808933,0.199905931,0.155919363,0.184062489
E01020027,0.210064683,0.158130175,0.18879512,0.174789274
E01020029,0.190028838,#,0.256741428,0.253999937
E01020030,0.180388157,#,0.229544427,0.167706426
E01020031,0.201997786,0.190982133,#,#
E01020032,0.223016325,0.253999937,#,#
E01020033,0.195569761,0.210064683,0.21905985,0.143871857
E01020035,0.088610119,#,0.142666003,0.170504577
E01020036,0.202868409,0.190028838,0.208809939,0.226002685
E01020037,0.179535297,0.21905985,0.26377516,0.267471986
E01020038,0.158130175,0.156687995,0.267471986,0.199880755
E01020039,0.207742696,0.205950057,0.270653906,0.246036046
E01020040,0.139246846,#,0.25437292,#
E01020041,0.210718366,0.223349791,0.231222262,0.282819171
E01020042,0.187456391,0.180388157,0.240755548,0.060918888
E01020043,0.188745194,0.178725783,0.165438024,0.115593984
E01020044,0.145804141,0.177337962,0.240755548,0.139246846
E01020045,0.153498556,0.11395771,0.158769742,0.083488777
E01020046,0.246036046,0.109486396,0.087651473,0.195139355
E01020047,0.202330045,0.217789479,0.239965859,0.236635676
E01020048,0.187456391,0.253489889,0.251960339,0.227327744
E01020049,0.108301974,0.265014437,0.28705736,0.289766586
E01020050,0.251293464,#,0.163428531,0.167706426
E01020051,0.240755548,0.246036046,0.208809939,0.201824967
E01020052,#,0.231222262,0.218531193,0.278447742
E01020053,0.202803131,0.253489889,0.242789182,#
E01020054,0.269639459,0.210374572,0.152269591,0.210843693
E01020055,0.229544427,0.229142937,0.201824967,0.124068488
E01020056,0.124405398,0.124068488,0.155919363,0.094534603
E01020057,0.227327744,0.20875822,0.20875822,0.208809939
E01020058,0.176363212,0.202330045,0.210374572,0.069621791
E01020059,0.149066467,0.20553518,0.165438024,0.153498556
E01020060,0.253489889,0.212509539,#,0.20553518
E01020061,0.153498556,0.187007072,0.176885041,0.179535297
E01020062,0.107307785,0.195139355,0.142666003,0.158986984
E01020063,0.115593984,0.159633289,0.153477773,0.165514578
E01020064,0.201997786,0.184062489,0.149645984,0.165438024
E01020065,0.218531193,0.229544427,0.236036833,0.263723101
E01020066,0.18804477,0.145231834,0.179965885,0.128522819
E01020067,0.206942956,0.19701521,0.185874268,0.206273953
E01020068,0.167186377,0.158986984,#,0.145804141
E01020069,0.142666003,0.11675742,0.219422103,0.08122574
E01020070,0.21509223,0.14102912,0.180283179,0.117929063
E01020071,0.191656926,0.246036046,0.172904882,0.142787897
E01020072,0.179535297,0.180828565,0.239965859,0.134639482
E01020073,0.246036046,0.21509223,0.229544427,0.190982133
E01020074,0.094534603,0.158583431,0.136012622,0
E01020075,0.054149999,0.106260752,0.131688536,0.156687995
E01020076,0.196090795,0.239809417,0.227327744,0.158030908
E01020077,0.167186377,0.145804141,0.190982133,0.109486396
E01020078,0.247983897,0.202330045,0.269639459,0.229544427
E01020079,0.265465072,#,0.251960339,0.253999937
E01020080,0.13848552,0.258478702,0.265014437,0.312913972
E01020081,#,0.287116056,0.240755548,0.312913972
E01020082,0.17169211,#,#,#
E01020083,0.194227924,0.210374572,0.162571275,0.184062489
E01020084,0.174009708,0.277130234,0.251960339,0.145804141
E01020085,0.26930602,0.193529038,0.196090795,0.251293464
E01020086,0.18106841,0.208809939,0.311660948,0.236635676
E01020087,0.194808933,0.246036046,0.236635676,0.167706426
E01020088,0.227327744,0.219422103,0.237672542,0.195976335
E01020089,0.194227924,0.210374572,0.180283179,0.142787897
E01020090,0.21905985,0.278447742,0.216771913,0.167706426
E01020091,0.253999937,#,0.253489889,0.097471421
E01020092,#,0,0.21509223,0.312913972
E01020093,0.311660948,0.227327744,0.229142937,0.229544427
E01020094,0.162455922,#,#,0.18879512
E01020095,0.227362129,0.253999937,0.240755548,0.243949524
E01020096,0.251960339,0.270653906,0.253489889,0.291477032
E01020097,0.194227924,0.25898814,0.173878888,0.142787897
E01020098,0.162652534,0.191656926,0.102683275,0.142787897
E01020099,0.194077249,#,0.289055362,0.25437292
E01020100,0.229544427,0.26930602,0.218145974,#
E01020101,0.256741428,0.257024188,0.210064683,0.210843693
E01020102,0.178552894,0.22804215,0.18879512,0.176363212
E01020103,0.217789479,0.205705866,0.213876822,0.178909486
E01020104,#,#,#,#
E01020105,0.249712095,0.20553518,0.253489889,0.236635676
E01020106,#,0.24902172,0.174789274,#
E01020107,0.215903034,0.282819171,0.177337962,0.299607012
E01020108,0.172244946,0.210843693,0.210718366,0.158583431
E01020109,0.180828565,0.201824967,0.064980236,0.212509539
E01020110,0.265465072,0.229786968,0.219422103,0.159283311
E01020111,0.219422103,0.299607012,0.26377516,0.231222262
E01020112,0.227327744,#,0.22482995,0.251960339
E01020113,0.269639459,0.194077249,0.25898814,0.267471986
E01020114,0.233260489,0.265465072,0.277130234,0.277130234
E01020115,0.216771913,#,0.269639459,0.233260489
E01020116,0.202868409,0.237672542,0.240755548,0.142666003
E01020117,0.210843693,0.249712095,0.229209521,0.253999937
E01020118,0.210374572,#,0.165514578,0.223276695
E01020119,0.253999937,#,0.218145974,0.234087242
E01020120,0.199905931,0.157498888,0.167186377,0.163428531
E01020121,0.194227924,0.199880755,0.20203199,0.22804215
E01020122,0.210843693,0.26930602,0.218531193,0.216771913
E01020123,0.253999937,#,0.240755548,0.307448782
E01020124,0.155919363,0.201824967,#,#
E01020125,0.194077249,0.194077249,0.26930602,0.194077249
E01020126,#,#,0.306663648,#
E01020127,0.202803131,#,0.25437292,0.124068488
E01020128,0.124068488,0.18955494,0.210843693,0.176363212
E01020129,0.257024188,0.208809939,0.21905985,0.28705736
E01020130,0.195976335,0.201997786,0.215903034,0.265465072
E01020131,0.210374572,0.246036046,0.202291325,0.269639459
E01020132,0.210843693,0.207742696,#,0.240755548
E01020133,0.210843693,0.229209521,0.234087242,0.179535297
E01020134,0.25898814,#,#,0.287116056
E01020135,0.263723101,#,0.243949524,0.142666003
E01020136,0.229142937,0.253999937,0.226002685,0.167706426
E01020137,0.229786968,0.223016325,0.201824967,#
E01020138,0.210683589,0.199880755,0.201374651,0.177031048
E01020139,0.208809939,#,0.265465072,0.306663648
E01020140,0.195139355,0.311660948,0.28705736,0.265014437
E01020141,0.207037432,0.193959041,0.20475332,0.170504577
E01020142,0.15741165,0.196090795,0.127832302,0.14102912
E01020143,0.180283179,0.187456391,0.21509223,0.18879512
E01020144,0.24902172,#,#,#
E01020145,0.312913972,0.287116056,0.289766586,#
E01020146,#,#,#,#
E01020147,0.146435561,0.239965859,0.195139355,0.147026266
E01020148,0.202330045,0.11675742,0.233260489,0.26930602
E01020149,0.258478702,#,0.28705736,0.278447742
E01020150,0.223016325,0.239809417,0.156687995,0.267471986
E01020151,0.194077249,#,#,0.258478702
E01020152,#,#,0.233260489,0.24902172
E01020153,#,#,#,#
E01020154,0.257024188,0.274120636,0.248001024,0.251960339
E01020155,0.28705736,#,#,#
E01020156,0.215903034,0.174789274,0.239965859,0.212509539
E01020157,0.131325102,0.282819171,0.146435561,0.174789274
E01020158,0.180828565,0.155919363,0.145804141,0.16443231
E01020159,0.13848552,0.145804141,0.289766586,0.130881584
E01020160,0.115423835,0.177337962,0.168145154,0.155919363
E01020161,0.145768564,0.17347926,0.215861129,0.226002685
E01020162,0.124068488,0.167368042,0.199880755,0.179535297
E01020163,0.183947492,0.199021972,0.177031048,0.106765996
E01020164,0.137014716,0.188745194,0.251293464,0.172904882
E01020165,0.156687995,0.218531193,0.148114696,0.218531193
E01020166,0.150001778,0.183510116,0.180828565,0.142666003
E01020167,0.122185179,0.196090795,0.083488777,0.083488777
E01020168,0.16443231,0.20475332,0.172904882,0.190028838
E01020169,0.131325102,0.16129189,0.18955494,0.152269591
E01020170,0,0.278447742,0.258478702,0.312913972
E01020171,0.162455922,0.210843693,0.167706426,#
E01020172,0.097359895,0.210843693,0,0.108301974
E01020173,0.158130175,#,0,0.180388157
E01020174,0.289055362,0.229544427,0.11675742,0.130881584
E01020175,0.180388157,0.145804141,0.147026266,0.156687995
E01020176,0.097359895,0.108301974,0.212509539,0.158986984
E01020177,0.21509223,0.270653906,0.194227924,0.265014437
E01020178,0.210374572,0.25437292,0.130881584,0.125062627
E01020179,0.194227924,0.156687995,0.167706426,0.17169211
E01020180,0.199880755,0.20203199,0.265014437,0.18106841
E01020181,0.194227924,0.240755548,0.20553518,0.188745194
E01020182,0.229544427,0.215861129,0.163428531,#
E01020183,0.240755548,0.08122574,#,0.195139355
E01020184,0.199905931,0.236635676,0.088610119,0.233260489
E01020185,#,#DIV/0!,#DIV/0!,#
E01020186,#DIV/0!,#DIV/0!,#DIV/0!,#
E01020187,0.174789274,0.258478702,#,0.139246846
E01020188,0.21905985,0.289055362,0.18106841,0.18879512
E01020189,0.229209521,0.173442351,0.174009708,0.167186377
E01020190,0.130881584,0.167186377,0.092250994,0.167186377
E01020191,0.212509539,#,#,0.121840276
E01020192,0.25437292,0.25437292,#,0.194077249
E01020193,0.218531193,0.219422103,0.180388157,0.195139355
E01020194,0.158130175,0.25437292,0.201824967,0.125062627
E01020195,0.183248587,0.195976335,0.231222262,0.158130175
E01020196,0.201824967,0.210843693,0.253999937,0.253659905
E01020197,0.212509539,0.121840276,0,0.218145974
E01020198,0.253999937,#,0.248001024,0.287116056
E01020199,0.299607012,#,0.216902688,0.223016325
E01020200,#,0,0.162455922,#
E01020201,0.174789274,#,#,0.258478702
E01020202,0.201824967,0.18879512,0.21509223,0.270653906
E01020203,0.092250994,0.269639459,0.158130175,0.20553518
E01020204,0.172904882,0.256741428,0.217789479,0.25437292
E01020205,0.064980236,0.097471421,0.134639482,0.195139355
E01020206,0.218531193,0.215903034,0.147026266,0.18879512
E01020207,0.251960339,0.239965859,0.210683589,0.242188535
E01020208,0.291477032,#,0.218531193,0.149066467
E01020209,0.210843693,0.299607012,0.289055362,0.289055362
E01020210,#,0.311660948,0.233260489,0.289766586
E01020211,0.269639459,0.239809417,#,#
E01020212,0.215000717,0.265465072,#,#
E01020213,#,0.282819171,0.306663648,0.174789274
E01020214,0.253999937,0.199880755,0.134639482,0.312913972
E01020215,0.234087242,0.121840276,0.258478702,0.08122574
E01020216,0.247983897,0.177814314,0.210718366,0.205950057
E01020217,0.312913972,0.265014437,#,0.253999937
E01020218,0.311660948,0.289055362,#,0.278447742
E01020219,0.219063616,0.195976335,0.231222262,0.143092008
E01020220,0.231222262,#,0.199905931,0.202330045
