Area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
E92000001,703106,791888,716283,695550,1298572,1186346,1222222,1282669,1172963,814654,573096,451428
E12000009,40918,48058,42137,40971,94361,79323,80106,86458,76223,50658,35292,28688
E01015023,16,29,33,20,61,49,45,50,47,30,25,40
E01015024,20,20,11,17,32,36,43,34,30,30,15,20
E01015025,8,10,#,6,14,13,16,10,5,5,5,10
E01015026,34,38,35,29,47,67,63,48,41,40,25,40
E01015027,13,13,17,10,25,18,20,29,15,15,15,15
E01015028,28,26,27,21,50,39,62,53,31,30,25,25
E01015029,12,12,17,14,29,33,32,44,30,30,10,15
E01015030,44,44,36,36,57,54,70,66,49,50,30,40
E01015031,20,30,25,25,48,45,54,50,46,45,25,20
E01015032,38,33,44,39,73,66,69,76,78,80,40,45
E01015033,6,13,7,7,23,10,12,12,9,10,5,5
E01015034,9,15,10,9,13,8,14,17,9,10,5,5
E01015035,10,12,8,11,23,18,16,14,10,10,10,10
E01015036,13,12,6,9,20,15,16,18,16,15,10,10
E01015037,10,17,13,5,22,13,28,17,23,25,15,15
E01015038,7,17,10,7,22,20,22,16,11,10,10,10
E01015039,8,21,25,20,29,23,40,22,29,30,20,20
E01015040,30,31,31,41,61,54,65,65,54,55,25,30
E01015041,20,25,22,19,43,39,44,45,36,35,25,30
E01015042,26,26,31,35,42,55,62,46,30,30,20,35
E01015043,52,55,42,42,62,76,96,93,91,90,50,50
E01015044,28,31,41,39,68,63,69,71,56,55,30,35
E01015045,25,27,33,25,64,58,71,80,63,60,35,40
E01015046,68,96,91,74,112,141,143,133,102,100,60,65
E01015047,35,51,51,28,63,72,68,69,71,70,40,40
E01015048,72,65,65,55,89,75,83,96,84,85,50,70
E01015049,23,15,11,23,36,27,28,27,17,15,20,30
E01015050,35,35,35,38,57,55,72,68,59,60,35,40
E01015051,30,25,15,12,32,27,33,34,29,30,20,25
E01015052,42,48,36,35,56,40,62,65,53,55,40,55
E01015053,42,51,42,39,59,36,50,57,53,55,30,30
E01015054,32,24,28,30,37,34,33,40,30,30,25,20
E01015055,37,26,29,27,42,40,41,30,33,35,20,30
E01015056,19,24,24,29,36,30,39,44,36,35,20,25
E01015057,27,27,42,28,52,51,56,65,52,50,25,40
E01015058,26,28,28,25,49,55,50,58,50,50,20,25
E01015059,21,21,17,16,49,34,34,38,27,25,20,25
E01015060,23,22,17,14,35,37,36,45,36,35,15,15
E01015061,31,22,30,26,54,49,55,57,48,50,35,35
E01015062,40,39,55,34,66,60,64,70,44,45,40,40
E01015063,23,24,26,23,43,29,26,28,20,20,15,15
E01015064,3,5,5,5,11,13,9,8,4,5,5,0
E01015065,4,5,7,10,19,16,19,17,8,10,10,5
E01015066,8,8,12,5,18,18,18,19,7,5,5,5
E01015067,7,4,12,6,28,14,18,15,15,15,5,5
E01015068,4,12,8,7,23,17,22,13,14,15,5,0
E01015069,17,14,20,15,46,36,31,27,32,30,20,15
E01015070,24,23,23,22,36,39,31,30,27,25,20,15
E01015071,11,16,15,7,22,25,20,16,17,15,10,15
E01015072,23,45,53,37,60,56,52,72,70,70,30,30
E01015073,20,27,33,23,53,46,39,52,34,35,20,30
E01015074,16,25,32,28,41,42,41,36,35,35,30,25
E01015075,25,27,30,21,46,35,52,60,41,40,25,35
E01015076,12,12,17,16,32,27,31,41,23,25,10,20
E01015077,12,10,8,12,28,25,29,22,17,15,10,20
E01015078,27,34,44,45,69,52,49,47,44,45,25,40
E01015079,10,12,17,18,32,27,19,26,27,25,15,15
E01015080,42,48,56,45,72,58,73,63,46,45,15,15
E01015081,22,28,30,18,40,47,42,45,40,40,15,25
E01015082,28,45,35,34,66,48,52,49,39,40,25,25
E01015083,43,46,37,26,72,73,65,51,54,55,35,40
E01015084,20,28,23,20,33,31,31,34,34,35,20,20
E01015085,11,27,23,17,32,36,37,30,26,25,20,15
E01015086,17,18,26,17,40,30,28,35,24,25,10,30
E01015087,35,44,39,44,63,65,71,66,54,55,20,30
E01015088,29,49,44,31,60,53,59,68,51,50,35,25
E01015089,7,17,17,13,33,36,35,24,20,20,10,10
E01015090,10,12,17,11,21,25,22,19,10,10,10,5
E01015091,9,20,17,19,31,25,31,20,17,15,10,15
E01015092,11,13,9,12,30,18,27,19,14,15,15,15
E01015093,15,21,18,19,28,22,19,22,16,15,15,10
E01015094,13,13,16,12,28,28,25,27,15,15,15,15
E01015095,16,21,18,19,39,22,25,25,26,25,10,5
E01015096,17,10,12,12,25,30,32,34,25,25,10,10
E01015097,5,7,6,5,21,9,15,14,11,10,10,10
E01015098,7,14,11,12,26,15,15,16,23,25,15,10
E01015099,10,9,15,12,31,35,33,20,14,15,10,5
E01015100,23,19,21,17,33,30,29,38,26,25,20,20
E01015101,#,5,6,7,15,10,8,10,5,5,10,5
E01015102,16,14,13,12,28,30,31,43,24,25,25,20
E01015103,15,10,14,17,19,23,22,17,14,15,20,10
E01015104,6,10,14,7,24,19,16,12,11,10,5,5
E01015105,9,13,12,17,35,17,23,20,18,20,15,10
E01015106,9,13,14,16,32,30,30,28,20,20,5,15
E01015107,6,11,10,10,20,15,17,21,14,15,15,10
E01015108,16,12,11,4,18,19,12,17,13,15,5,5
E01015109,#,8,5,11,28,25,16,30,12,10,5,10
E01015110,7,7,6,#,22,15,7,12,9,10,5,5
E01015111,9,10,6,10,25,19,18,6,9,10,5,10
E01015112,6,7,4,7,22,14,15,22,12,10,5,5
E01015113,6,10,11,4,14,11,12,12,6,5,5,10
E01015114,8,11,12,8,23,14,15,12,10,10,5,5
E01015115,11,13,5,7,20,17,26,23,14,15,10,10
E01015116,7,11,16,10,18,11,14,14,14,15,5,10
E01015117,8,7,5,11,24,30,18,16,9,10,10,5
E01015118,8,#,4,3,15,18,9,15,12,10,5,10
E01015119,4,10,7,9,23,21,16,13,13,15,5,5
E01015120,#,#,6,10,22,9,16,18,10,10,5,5
E01015121,8,7,8,7,18,9,12,7,9,10,0,5
E01015122,#,5,14,8,22,12,10,17,13,15,5,10
E01015123,7,9,9,#,17,21,14,14,9,10,5,15
E01015124,6,8,8,9,17,21,15,9,14,15,5,5
E01015125,5,8,7,11,24,21,18,16,11,10,5,10
E01015126,5,#,4,7,13,8,10,9,5,5,5,10
E01015127,5,3,7,8,18,14,13,23,20,20,10,10
E01015128,6,14,12,10,19,17,20,16,8,10,5,10
E01015129,13,17,17,12,33,28,22,31,13,15,10,20
E01015130,11,10,14,9,23,14,18,10,13,15,10,5
E01015131,4,8,8,4,13,7,7,5,3,5,5,5
E01015132,13,12,9,7,15,17,14,17,14,15,5,5
E01015133,12,11,12,5,13,20,9,14,3,5,5,10
E01015134,7,8,12,6,14,10,11,13,13,15,10,10
E01015135,15,11,16,5,30,22,22,11,21,20,10,10
E01015136,9,9,11,9,26,9,27,21,13,15,5,10
E01015137,7,8,6,7,19,24,17,19,9,10,10,5
E01015138,12,14,10,13,23,24,19,25,13,15,5,15
E01015139,9,18,13,13,31,25,39,28,20,20,5,10
E01015140,4,10,8,8,15,10,7,10,9,10,5,5
E01015141,5,8,10,6,23,14,15,18,7,5,5,5
E01015142,14,21,21,16,34,38,33,33,24,25,15,20
E01015143,10,13,15,13,43,26,31,27,31,30,10,15
E01015144,30,33,34,30,51,53,61,58,55,55,45,35
E01015145,44,54,43,56,72,77,98,85,91,90,60,45
E01015146,32,39,48,34,67,75,78,92,81,80,50,40
E01015147,19,17,13,14,22,19,22,23,23,25,10,5
E01015148,11,18,15,12,36,26,41,45,20,20,10,15
E01015149,30,35,37,29,42,41,59,51,38,40,25,35
E01015150,13,20,17,13,26,26,43,35,30,30,15,15
E01015151,74,90,80,68,118,113,118,120,109,110,90,90
E01015152,62,56,63,57,73,89,113,107,86,85,60,55
E01015153,75,90,76,74,120,107,111,132,109,110,75,70
E01015155,98,106,96,88,117,145,160,149,147,145,95,105
E01015156,35,50,48,31,53,70,87,75,72,70,40,50
E01015157,59,74,62,48,89,89,87,77,88,90,60,65
E01015158,38,45,46,40,79,80,78,84,71,70,40,55
E01015159,18,24,24,12,35,35,36,35,23,25,15,30
E01015160,5,6,4,3,17,8,16,11,10,10,5,5
E01015161,14,12,13,14,36,27,29,37,34,35,25,20
E01015162,13,30,20,30,41,27,35,39,28,30,25,15
E01015163,5,11,14,10,29,15,26,20,15,15,10,10
E01015164,19,14,22,15,33,26,31,30,27,25,20,20
E01015165,14,13,12,9,27,25,18,18,14,15,10,10
E01015166,24,29,31,22,47,53,51,55,51,50,35,40
E01015167,29,33,37,24,63,55,53,63,46,45,20,25
E01015168,30,47,35,30,68,57,84,74,65,65,35,40
E01015169,33,28,30,17,51,44,58,53,50,50,30,40
E01015170,36,32,43,48,69,64,77,84,77,75,45,40
E01015171,39,46,35,29,55,51,67,71,55,55,35,40
E01015172,41,52,46,31,66,59,80,100,70,70,35,40
E01015173,10,28,19,23,57,42,42,47,36,35,15,25
E01015174,12,12,10,11,28,19,27,31,25,25,10,10
E01015175,33,32,26,27,65,53,49,75,57,55,30,60
E01015176,27,31,27,19,44,27,36,38,32,30,20,15
E01015177,23,39,33,38,51,66,46,43,58,60,40,25
E01015178,47,41,35,44,69,62,76,68,71,70,50,45
E01015179,39,34,39,27,69,55,53,51,38,40,30,40
E01015180,54,74,56,54,90,79,84,87,98,100,55,55
E01015181,58,72,66,66,109,112,111,117,92,95,65,80
E01015182,36,49,47,41,74,70,71,82,74,75,35,40
E01015183,16,12,10,7,18,15,16,14,17,15,5,5
E01015184,8,5,13,5,19,12,11,16,16,15,5,0
E01015185,10,14,19,11,29,14,20,27,20,20,10,5
E01015186,21,31,23,26,48,46,54,53,37,35,10,15
E01015187,6,13,8,7,23,13,10,9,5,5,5,5
E01015188,4,14,7,10,24,17,15,23,20,20,10,10
E01015189,20,18,23,17,40,32,28,23,15,15,5,15
E01015190,13,13,23,25,40,34,43,38,41,40,10,5
E01015191,14,17,16,14,25,21,21,33,23,25,5,5
E01015192,18,29,21,16,44,31,35,41,36,35,10,15
E01015193,5,14,13,14,25,23,24,19,17,15,5,5
E01015194,18,26,31,24,33,27,31,51,28,30,15,10
E01015195,15,12,10,16,36,25,25,33,22,20,15,15
E01015196,29,36,37,31,57,58,60,80,69,70,40,35
E01015197,4,6,3,8,14,11,8,9,7,5,5,5
E01015198,7,6,6,3,17,11,13,8,7,5,5,5
E01015199,3,9,8,3,11,7,6,4,5,5,5,5
E01015200,6,6,12,#,21,13,10,12,7,5,5,10
E01015201,3,9,4,8,24,14,11,9,9,10,5,10
E01015202,13,20,16,10,32,25,20,25,15,15,5,5
E01015203,7,9,8,4,19,12,7,9,8,10,5,10
E01015204,15,23,20,11,38,33,37,53,34,35,15,10
E01015205,5,19,14,8,29,26,19,25,24,25,10,10
E01015206,17,19,26,18,43,16,34,49,42,40,20,25
E01015207,16,22,26,11,36,31,35,35,33,35,10,10
E01015208,8,5,6,13,14,9,13,12,15,15,5,5
E01015209,19,27,24,21,34,30,39,39,41,40,20,20
E01015210,25,34,29,21,42,41,55,44,48,50,20,20
E01015211,3,10,11,7,10,9,14,11,11,10,5,5
E01015212,35,36,30,24,56,36,46,37,35,35,20,20
E01015213,8,15,7,14,28,22,29,37,25,25,10,10
E01015214,21,38,32,43,63,75,82,89,77,75,40,45
E01015215,16,17,14,15,34,28,22,31,32,30,15,5
E01015216,24,27,33,28,58,53,55,61,53,55,25,25
E01015217,42,47,59,37,85,86,97,93,91,90,65,65
E01015218,17,24,28,21,39,41,50,58,49,50,20,15
E01015219,13,12,15,7,27,23,27,35,26,25,5,10
E01015220,9,11,10,9,15,13,19,20,15,15,5,5
E01015221,8,12,13,8,25,21,24,18,17,15,5,10
E01015222,13,11,14,9,33,18,19,23,17,15,5,5
E01015223,7,11,10,10,19,10,21,14,7,5,5,10
E01015224,12,13,19,14,29,29,21,27,25,25,10,5
E01015225,18,20,24,22,26,27,29,29,27,25,15,10
E01015226,8,7,8,4,15,11,13,9,13,15,5,5
E01015227,8,8,5,12,22,11,15,16,4,5,5,5
E01015228,26,23,27,20,35,36,37,31,29,30,20,15
E01015229,14,14,20,23,48,21,34,41,37,35,10,15
E01015230,5,4,4,8,12,9,13,7,7,5,5,5
E01015231,49,47,48,47,74,70,84,103,97,95,60,55
E01015232,32,50,50,53,87,70,91,98,86,85,40,50
E01015233,27,26,35,31,62,39,59,62,57,55,40,40
E01015234,18,21,24,19,34,25,36,38,45,45,25,20
E01015235,17,18,25,18,46,32,33,38,27,25,10,15
E01015236,20,24,15,8,21,27,27,19,22,20,10,10
E01015237,9,13,12,17,41,25,34,27,17,15,10,15
E01015238,13,17,20,12,44,31,28,34,32,30,10,10
E01015239,17,31,24,23,41,29,29,37,36,35,15,20
E01015240,13,18,18,13,30,27,38,37,32,30,20,15
E01015241,16,23,22,23,45,43,39,43,43,45,15,20
E01015242,21,28,28,26,31,40,59,49,40,40,25,20
E01015243,7,12,15,8,27,24,21,19,17,15,5,10
E01015244,8,13,9,9,17,14,11,15,12,10,5,5
E01015245,18,20,16,10,26,27,20,22,15,15,10,5
E01015246,7,13,10,13,25,23,11,16,13,15,5,5
E01015247,8,13,15,19,32,26,34,27,28,30,10,15
E01015248,28,31,34,27,53,34,40,30,19,20,10,10
E01015249,12,20,23,20,26,26,38,38,18,20,20,15
E01015250,6,14,15,6,21,24,20,21,10,10,5,5
E01015251,6,6,9,3,10,12,16,12,11,10,5,5
E01015252,18,21,21,20,50,35,54,64,44,45,20,20
E01015253,7,18,15,15,20,23,18,16,12,10,15,10
E01015254,14,9,13,3,15,9,11,14,5,5,5,5
E01015255,69,75,81,68,130,128,142,131,140,140,60,65
E01015256,65,97,82,65,129,99,125,143,129,130,65,65
E01015257,30,50,36,33,45,73,65,78,78,80,25,25
E01015258,35,39,33,33,56,61,61,64,64,65,25,30
E01015259,23,27,30,24,56,41,49,60,40,40,10,20
E01015260,53,55,56,49,83,77,112,126,112,110,60,45
E01015261,37,49,61,53,87,70,103,116,90,90,45,65
E01015262,10,21,19,22,41,24,33,26,26,25,10,10
E01015263,26,44,34,28,49,58,62,67,53,55,30,25
E01015264,7,10,10,7,20,21,13,19,17,15,5,5
E01015265,8,11,11,5,26,24,28,32,19,20,30,15
E01015266,18,21,30,32,54,42,68,64,57,55,30,20
E01015267,38,37,24,30,41,49,77,72,64,65,45,25
E01015268,26,22,20,20,35,31,29,38,31,30,20,20
E01015269,26,24,15,19,33,28,36,39,39,40,15,15
E01015270,30,20,24,19,44,30,39,40,40,40,20,25
E01015271,5,9,8,0,7,8,14,15,14,15,5,10
E01019886,20,10,21,13,34,34,35,37,32,30,25,15
E01019887,6,4,7,7,15,33,24,28,26,25,5,20
E01019888,9,16,11,7,21,22,17,21,14,15,10,15
E01019889,4,3,3,5,14,9,12,7,14,15,5,5
E01019890,5,3,12,11,12,12,10,8,5,5,5,5
E01019891,6,3,7,5,12,13,10,13,5,5,5,5
E01019892,9,10,4,5,13,10,13,8,7,5,10,20
E01019893,#,9,5,7,21,16,16,11,10,10,10,10
E01019894,4,4,#,3,9,6,6,6,5,5,5,5
E01019895,0,6,#,0,8,#,6,3,3,5,0,5
E01019896,7,7,5,4,11,7,9,10,8,10,5,0
E01019897,6,7,10,7,27,18,16,10,13,15,5,5
E01019898,8,9,5,6,13,11,14,17,13,10,0,5
E01019899,8,10,5,9,12,11,14,7,11,10,10,10
E01019900,#,5,3,3,13,11,11,12,11,10,5,5
E01019901,7,4,4,4,10,10,4,5,10,10,5,5
E01019902,12,15,10,6,22,19,16,19,17,15,5,10
E01019903,4,6,7,6,22,14,11,20,14,15,5,5
E01019904,7,12,9,9,21,15,16,19,14,15,5,5
E01019905,7,#,5,12,22,16,11,7,6,5,5,5
E01019906,6,7,6,4,18,5,12,8,6,5,0,5
E01019907,3,10,8,5,13,11,12,10,6,5,0,5
E01019908,3,9,11,11,22,23,15,29,13,15,10,5
E01019909,3,3,3,3,10,6,3,11,7,5,5,0
E01019910,5,8,6,4,16,13,12,15,7,5,5,10
E01019911,6,9,4,3,8,6,8,5,3,5,0,0
E01019912,12,12,12,15,33,16,18,23,13,15,10,10
E01019913,5,5,4,#,7,7,10,6,9,10,5,5
E01019914,11,21,16,22,42,35,26,32,24,25,5,10
E01019915,4,5,3,6,13,9,11,14,10,10,5,5
E01019916,29,27,19,7,46,43,37,50,28,30,15,20
E01019917,7,15,12,14,24,21,32,25,17,15,10,10
E01019918,27,18,27,19,44,41,44,54,31,30,15,20
E01019919,13,10,14,12,40,40,36,42,16,15,10,15
E01019920,12,14,17,11,34,27,30,24,16,15,5,15
E01019921,8,5,3,9,19,12,15,15,8,10,0,5
E01019922,12,11,9,12,26,17,24,21,14,15,10,5
E01019923,4,12,6,4,22,18,14,13,10,10,5,5
E01019924,6,21,11,8,19,28,26,28,19,20,10,15
E01019925,4,#,4,10,12,13,9,14,9,10,5,0
E01019927,16,10,12,8,26,24,30,27,31,30,10,15
E01019928,12,16,13,11,26,30,17,30,19,20,10,15
E01019929,11,15,8,9,26,21,20,18,14,15,5,10
E01019930,8,9,8,4,14,15,13,12,8,10,0,0
E01019931,#,#,3,7,11,7,4,6,4,5,5,5
E01019932,10,18,16,9,25,29,32,30,28,30,15,20
E01019933,7,14,7,7,17,15,15,10,13,15,10,10
E01019934,7,7,8,8,8,13,19,14,12,10,5,5
E01019935,6,3,4,#,8,6,13,8,7,5,5,5
E01019936,5,5,6,#,3,9,8,10,13,15,5,5
E01019937,6,5,5,7,19,17,13,9,13,15,5,5
E01019938,5,6,5,9,18,12,12,9,8,10,5,5
E01019939,#,5,3,#,8,3,5,#,7,5,5,0
E01019940,#,0,0,#,12,3,8,5,6,5,0,5
E01019942,4,3,10,5,20,28,21,18,18,20,10,5
E01019943,5,4,3,6,13,9,12,5,11,10,0,5
E01019944,4,8,4,6,16,10,16,11,21,20,5,10
E01019945,8,4,9,5,13,12,8,14,7,10,5,5
E01019946,3,8,3,7,12,9,6,5,6,5,0,5
E01019947,6,11,7,5,24,19,22,15,17,15,5,15
E01019948,5,5,5,#,12,4,10,11,6,5,0,5
E01019949,5,7,6,9,14,9,8,4,5,5,5,5
E01019950,4,12,7,5,13,8,8,8,5,5,5,5
E01019951,12,7,4,6,17,7,17,10,11,10,5,5
E01019952,5,3,10,6,12,12,7,13,14,15,10,10
E01019953,10,8,#,4,12,6,7,13,8,10,5,10
E01019954,8,13,12,3,23,13,11,19,27,25,10,10
E01019955,12,5,8,7,11,6,15,8,9,10,10,5
E01019956,10,9,3,5,17,7,7,12,7,5,0,5
E01019957,3,3,#,#,6,4,8,4,#,0,5,0
E01019958,6,7,12,5,13,3,18,10,6,5,5,5
E01019959,4,9,4,6,10,10,4,9,6,5,0,5
E01019960,5,6,3,3,11,8,4,5,3,5,5,5
E01019961,9,5,8,10,16,15,12,10,5,5,5,5
E01019962,5,7,5,10,18,15,18,14,13,15,5,5
E01019963,#,5,6,6,17,10,10,9,6,5,5,0
E01019964,4,4,#,3,10,0,#,#,3,5,0,5
E01019965,5,4,#,4,16,9,15,10,4,5,5,5
E01019966,6,4,6,7,7,3,10,#,5,5,0,0
E01019967,3,7,#,0,8,7,#,5,4,5,5,0
E01019968,6,6,7,3,17,14,16,14,11,10,10,5
E01019969,5,10,8,5,20,17,15,22,19,20,10,15
E01019970,10,6,4,5,11,11,7,7,4,5,0,0
E01019971,15,12,14,14,30,33,32,26,28,30,10,15
E01019972,13,20,16,16,29,17,32,33,13,15,10,15
E01019973,7,4,5,4,21,15,12,16,14,15,5,10
E01019974,14,13,12,11,23,14,24,32,29,30,10,10
E01019975,23,26,27,31,39,44,47,35,21,20,15,10
E01019976,3,3,5,6,14,8,8,9,4,5,5,5
E01019977,17,18,12,11,30,16,22,22,14,15,5,5
E01019980,8,17,32,13,40,24,31,31,24,25,20,15
E01019981,13,19,14,18,34,30,37,43,33,35,5,15
